"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
25403,Кот и Пёс,2019-09-01 22:20:49,КотоНеделя,710
27763,Кот и Пёс,2019-09-01 23:12:23,ПёсоДень,155
25847,Убежище,2019-09-01 23:24:21,"1 КотоДень",114
25847,"Кошачий приют ""ДОМИК""",2019-09-01 23:27:48,КотоДень,67
25847,Убежище,2019-09-01 23:31:18,Дневная порция вкуснейшего корма,87
27768,"Самарский приют для животных ""НадеждА""",2019-09-02 08:48:39,Избавить питомца от глистов,250
27768,Добрые сердца,2019-09-02 08:57:48,КотоДень,77
27766,"Самарский приют для животных ""НадеждА""",2019-09-02 08:58:41,"1 КотоДень",98
27766,"Самарский приют для животных ""НадеждА""",2019-09-02 08:58:41,"1 КотоДень",98
27766,"Самарский приют для животных ""НадеждА""",2019-09-02 08:58:41,Избавить питомца от блох,200
27769,Мокрый нос,2019-09-02 09:04:10,"1 ПёсоНеделя",887
27769,Шереметьевский приют,2019-09-02 09:25:11,ПёсоНеделя,1650
27767,Убежище,2019-09-02 09:37:31,"1 КотоДень",114
27767,Убежище,2019-09-02 09:37:31,"1 КотоДень",114
27045,Шереметьевский приют,2019-09-02 09:38:32,Порция вкуснейшего корма,106
26899,Убежище,2019-09-02 09:40:35,"1 КотоДень",114
27520,Шереметьевский приют,2019-09-02 10:14:05,Порция вкуснейшего корма,106
27772,Убежище,2019-09-02 10:49:44,"1 КотоДень",114
27364,"Самарский приют для животных ""НадеждА""",2019-09-02 10:55:05,"1 КотоДень",98
27364,Убежище,2019-09-02 10:55:05,"1 КотоДень",114
27364,Добрые сердца,2019-09-02 10:55:05,КотоДень,77
27772,"Самарский приют для животных ""НадеждА""",2019-09-02 11:14:34,Избавить питомца от блох,130
27772,Убежище,2019-09-02 11:14:34,Наполнитель для туалета,20
1810,Убежище,2019-09-02 11:18:30,"1 КотоДень",114
26752,Люськин дом,2019-09-02 11:57:33,Котодень,106
26752,Люськин дом,2019-09-02 11:57:33,Когтеточка,300
26752,Шереметьевский приют,2019-09-02 11:57:33,ПёсоДень,255
26752,Шереметьевский приют,2019-09-02 11:57:33,ПёсоДень,255
26752,Шереметьевский приют,2019-09-02 11:57:33,Стерилизация,300
26752,Убежище,2019-09-02 11:57:33,"1 КотоДень",114
27510,"Самарский приют для животных ""НадеждА""",2019-09-02 12:11:37,Избавить питомца от глистов,320
27510,"Самарский приют для животных ""НадеждА""",2019-09-02 12:11:37,Избавить питомца от глистов,300
27510,"Самарский приют для животных ""НадеждА""",2019-09-02 12:13:55,Избавить питомца от глистов,100
27773,"Приют для кошек ""ЯрКот""",2019-09-02 12:30:22,"1 КотоДень",83
27774,Шереметьевский приют,2019-09-02 13:06:35,Порция вкуснейшего корма,106
27510,"Самарский приют для животных ""НадеждА""",2019-09-02 13:57:38,"1 КотоДень",98
27337,Убежище,2019-09-02 14:30:41,Рекламировать питомца (пакет Maxi),265
27601,Убежище,2019-09-02 14:58:07,"1 КотоДень",114
27572,Центральный приют Спб для бездомных кошек!,2019-09-02 15:01:06,"1 КотоДень",98
27572,Убежище,2019-09-02 15:08:13,"1 КотоДень",114
27572,"Самарский приют для животных ""НадеждА""",2019-09-02 15:38:57,Избавить питомца от глистов,200
5976,Мокрый нос,2019-09-02 16:08:58,"1 ПёсоДень",145
5976,Мокрый нос,2019-09-02 16:08:58,Игрушка-кольцо + кость,150
5976,Мокрый нос,2019-09-02 16:08:58,"1 ПёсоДень",145
5976,Кот и Пёс,2019-09-02 16:08:58,ПёсоДень,155
5976,Кот и Пёс,2019-09-02 16:08:58,ПёсоДень,155
5976,Шереметьевский приют,2019-09-02 16:08:58,ПёсоДень,255
27480,"Самарский приют для животных ""НадеждА""",2019-09-02 16:38:07,"1 КотоДень",98
27480,"Самарский приют для животных ""НадеждА""",2019-09-02 16:41:41,Наполнитель для туалета,20
27775,Мокрый нос,2019-09-02 17:00:15,"1 ПёсоДень",145
27775,Убежище,2019-09-02 17:00:15,"1 КотоДень",114
27775,Убежище,2019-09-02 17:00:15,Наполнитель для туалета,20
27775,Убежище,2019-09-02 17:00:15,"1 КотоДень",114
27776,Добрые сердца,2019-09-02 17:12:12,КотоДень,77
26338,Мокрый нос,2019-09-02 17:19:42,"1 ПёсоДень",145
26338,"Приют для кошек ""ЯрКот""",2019-09-02 17:19:42,"1 КотоДень",83
26338,"Приют для кошек ""ЯрКот""",2019-09-02 17:19:42,"1 КотоДень",83
26338,"Приют для кошек ""ЯрКот""",2019-09-02 17:19:42,"1 КотоДень",83
26338,Шереметьевский приют,2019-09-02 17:33:16,Стерилизация,100
1692,Матроскин,2019-09-02 18:42:07,КотоДень,98
1692,"Кошачий приют ""ДОМИК""",2019-09-02 18:42:07,КотоДень,67
1692,"Приют для кошек ""ЯрКот""",2019-09-02 18:42:07,"1 КотоДень",83
27777,"Самарский приют для животных ""НадеждА""",2019-09-02 19:05:15,"1 КотоНеделя",870
27777,"Самарский приют для животных ""НадеждА""",2019-09-02 19:05:15,Наполнитель для туалета,20
27777,"Самарский приют для животных ""НадеждА""",2019-09-02 19:05:15,Избавить питомца от глистов,300
27777,Кот и Пёс,2019-09-02 19:05:15,ПёсоНеделя,800
27777,Убежище,2019-09-02 19:05:15,"1 КотоДень",114
27069,"Самарский приют для животных ""НадеждА""",2019-09-02 19:19:39,"1 КотоНеделя",870
27777,Мокрый нос,2019-09-02 19:19:39,"1 ПёсоДень",145
27777,"Кошачий приют ""ДОМИК""",2019-09-02 19:19:39,КотоДень,67
27777,Кот и Пёс,2019-09-02 19:19:39,ПёсоДень,155
27777,Кот и Пёс,2019-09-02 19:19:39,ПёсоДень,155
27777,Кот и Пёс,2019-09-02 19:19:39,ПёсоДень,155
819,Убежище,2019-09-02 19:34:02,"1 КотоНеделя",937
27779,Убежище,2019-09-02 20:19:22,"1 КотоДень",114
27779,Кот и Пёс,2019-09-02 20:24:25,ПёсоДень,155
23556,Убежище,2019-09-02 22:01:46,"1 КотоДень",114
23556,Люськин дом,2019-09-02 22:04:57,Котодень,106
23556,"Самарский приют для животных ""НадеждА""",2019-09-02 22:09:09,"1 КотоДень",98
23556,"Самарский приют для животных ""НадеждА""",2019-09-02 22:09:09,Успокаивающий ошейник с феромонами ,105
27780,Люськин дом,2019-09-02 23:19:01,"1 КотоДень",1.26
27781,"Кошачий приют ""ДОМИК""",2019-09-02 23:39:34,Наполнитель для туалета,20
26315,Убежище,2019-09-03 01:47:24,"1 КотоДень",114
26338,"Самарский приют для животных ""НадеждА""",2019-09-03 10:29:17,Наполнитель для туалета,20
26338,Добрые сердца,2019-09-03 10:29:17,Порция вкуснейшего корма,36
27783,Убежище,2019-09-03 11:40:57,"1 КотоДень",114
27783,Котофей,2019-09-03 11:40:57,"1 КотоДень",87
27318,Убежище,2019-09-03 11:48:18,Рекламировать питомца (пакет Mini),78
27517,Люськин дом,2019-09-03 13:38:52,Котодень,106
27517,"Приют для кошек ""ЯрКот""",2019-09-03 13:38:52,"1 КотоДень",83
27517,"Приют для кошек ""ЯрКот""",2019-09-03 13:38:52,"1 КотоДень",83
27517,Убежище,2019-09-03 13:38:52,"1 КотоДень",114
27785,Котофей,2019-09-03 14:46:23,"1 КотоДень",87
27785,Котофей,2019-09-03 14:46:23,Наполнитель для туалета,20
27785,Добрые сердца,2019-09-03 14:59:19,КотоДень,77
27785,Люськин дом,2019-09-03 15:02:12,Дневная порция вкуснейшего корма,55
22140,"Самарский приют для животных ""НадеждА""",2019-09-03 15:25:59,"1 КотоДень",98
22140,"Самарский приют для животных ""НадеждА""",2019-09-03 15:25:59,Успокаивающий ошейник с феромонами ,200
22140,Люськин дом,2019-09-03 15:25:59,Когтеточка,2500
22140,"Приют для кошек ""ЯрКот""",2019-09-03 15:25:59,"1 КотоНеделя",832
22140,"Приют для кошек ""ЯрКот""",2019-09-03 15:25:59,"1 КотоНеделя",832
22140,"Приют для кошек ""ЯрКот""",2019-09-03 15:25:59,Наполнитель для туалета,20
22140,Убежище,2019-09-03 15:25:59,"1 КотоНеделя",937
26902,Лёхин дом,2019-09-03 16:15:25,"1 КотоДень",116
26902,Лёхин дом,2019-09-03 16:15:25,Наполнитель для туалета,20
27751,Мокрый нос,2019-09-03 16:50:37,Рекламировать питомца (пакет Mini),78
27751,Мокрый нос,2019-09-03 17:00:26,"1 ПёсоНеделя",887
27751,"Кошачий приют ""ДОМИК""",2019-09-03 17:00:26,КотоНеделя,620
27738,Кот и Пёс,2019-09-03 17:01:32,Наполнитель для туалета,0.29
27738,"Приют для кошек ""Потеряшка""",2019-09-03 17:01:32,Порция вкуснейшего корма,0.57
27738,"Приют для кошек ""Потеряшка""",2019-09-03 17:01:32,Наполнитель для туалета,0.29
27738,Убежище,2019-09-03 17:01:32,Наполнитель для туалета,0.29
27738,Добрые сердца,2019-09-03 17:01:32,Порция вкуснейшего корма,0.52
27738,Добрые сердца,2019-09-03 17:01:32,Порция вкуснейшего корма,0.52
27738,Добрые сердца,2019-09-03 17:01:32,Порция вкуснейшего корма,0.52
27786,"Кошачий приют ""ДОМИК""",2019-09-03 18:13:19,КотоДень,67
27786,"Кошачий приют ""ДОМИК""",2019-09-03 18:17:37,КотоДень,67
27445,Убежище,2019-09-03 18:33:25,"1 КотоНеделя",937
27529,"Кошачий приют ""ДОМИК""",2019-09-03 18:33:57,КотоНеделя,620
27529,Люськин дом,2019-09-03 18:33:57,Когтеточка,1000
27529,Кот и Пёс,2019-09-03 18:33:57,ПёсоДень,155
27529,"Приют для кошек ""ЯрКот""",2019-09-03 18:33:57,"1 КотоДень",83
27529,"Приют для кошек ""ЯрКот""",2019-09-03 18:33:57,"1 КотоДень",83
27529,Шереметьевский приют,2019-09-03 18:33:57,Порция вкуснейшего корма,106
27529,Шереметьевский приют,2019-09-03 18:33:57,Стерилизация,1000
27529,Убежище,2019-09-03 18:33:57,"1 КотоДень",114
27507,"Приют для кошек ""ЯрКот""",2019-09-03 18:57:27,Наполнитель для туалета,20
27507,"Приют для кошек ""ЯрКот""",2019-09-03 19:04:35,"1 КотоДень",83
27507,"Приют для кошек ""ЯрКот""",2019-09-03 19:08:20,"1 КотоДень",83
27507,"Приют для кошек ""ЯрКот""",2019-09-03 19:14:11,"1 КотоДень",83
27747,Лёхин дом,2019-09-03 21:48:29,"1 КотоДень",116
27747,Лёхин дом,2019-09-03 21:48:29,Наполнитель для туалета,20
27763,Мокрый нос,2019-09-03 22:03:47,"1 ПёсоДень",145
27763,Мокрый нос,2019-09-03 22:10:09,"1 ПёсоДень",145
22727,Люськин дом,2019-09-03 23:19:47,Когтеточка,376
22727,Шереметьевский приют,2019-09-03 23:19:47,ПёсоДень,255
22727,Шереметьевский приют,2019-09-03 23:19:47,ПёсоДень,255
22727,Шереметьевский приют,2019-09-03 23:19:47,Стерилизация,500
22727,Убежище,2019-09-03 23:19:47,"1 КотоДень",114
22727,Шереметьевский приют,2019-09-03 23:24:05,Порция вкуснейшего корма,106
22727,Шереметьевский приют,2019-09-03 23:24:05,ПёсоДень,255
27672,Кот и Пёс,2019-09-03 23:55:53,КотоДень,85
27672,Кот и Пёс,2019-09-03 23:55:53,ПёсоДень,155
27672,Кот и Пёс,2019-09-03 23:55:53,ПёсоДень,155
25655,Кот и Пёс,2019-09-04 00:18:45,Рекламировать питомца (пакет Standart),155
25655,Кот и Пёс,2019-09-04 00:18:45,Рекламировать питомца (пакет Maxi),265
27665,Шереметьевский приют,2019-09-04 01:18:07,Порция вкуснейшего корма,1.54
27787,Убежище,2019-09-04 02:36:51,Наполнитель для туалета,20
25665,Лёхин дом,2019-09-04 09:16:03,"1 КотоНеделя",1077
25932,Матроскин,2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,Матроскин,2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,Матроскин,2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,Матроскин,2019-09-04 09:27:55,КотоДень,98
25932,"Кошачий приют ""ДОМИК""",2019-09-04 09:27:55,КотоДень,67
25932,"Кошачий приют ""ДОМИК""",2019-09-04 09:27:55,КотоДень,67
25932,"Кошачий приют ""ДОМИК""",2019-09-04 09:27:55,КотоДень,67
25932,Люськин дом,2019-09-04 09:27:55,Порция корма ,36
25932,Люськин дом,2019-09-04 09:27:55,"1 КотоДень",87
25932,Центральный приют Спб для бездомных кошек!,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,61
25932,Центральный приют Спб для бездомных кошек!,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,61
25932,"Приют для кошек ""ЯрКот""",2019-09-04 09:27:55,Порция вкуснейшего корма,34
25932,"Приют для кошек ""Потеряшка""",2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,"Приют для кошек ""Потеряшка""",2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,"Приют для кошек ""Потеряшка""",2019-09-04 09:27:55,Порция вкуснейшего корма,39
25932,"Приют для кошек ""Потеряшка""",2019-09-04 09:27:55,"1 КотоДень",104
25932,Лёхин дом,2019-09-04 09:27:55,Порция корма ,48
25932,Лёхин дом,2019-09-04 09:27:55,Порция корма ,48
25932,Убежище,2019-09-04 09:27:55,"1 КотоДень",114
25932,Убежище,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,87
25932,Убежище,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,87
25932,Убежище,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,87
25932,Убежище,2019-09-04 09:27:55,"1 КотоДень",114
25932,Убежище,2019-09-04 09:27:55,Дневная порция вкуснейшего корма,87
25932,Добрые сердца,2019-09-04 09:27:55,Порция вкуснейшего корма,36
25932,Добрые сердца,2019-09-04 09:27:55,КотоДень,77
25932,Добрые сердца,2019-09-04 09:27:55,Порция вкуснейшего корма,36
25932,Добрые сердца,2019-09-04 09:27:55,КотоДень,77
23412,Люськин дом,2019-09-04 10:13:02,КотоНеделя,705
1810,Мокрый нос,2019-09-04 10:31:31,"1 ПёсоДень",145
1810,Убежище,2019-09-04 10:31:31,"1 КотоДень",114
27744,Лёхин дом,2019-09-04 10:46:35,"1 КотоДень",116
27788,Убежище,2019-09-04 11:10:42,"1 КотоДень",114
27788,Убежище,2019-09-04 11:10:42,Наполнитель для туалета,20
27376,Кот и Пёс,2019-09-04 12:13:43,ПёсоДень,155
27376,Лёхин дом,2019-09-04 12:13:43,"1 КотоДень",116
27376,Лёхин дом,2019-09-04 12:13:43,Рекламировать питомца (пакет Standart),155
27376,Убежище,2019-09-04 12:13:43,"1 КотоДень",114
27376,Убежище,2019-09-04 12:13:43,"1 КотоДень",114
27376,Добрые сердца,2019-09-04 12:13:43,КотоДень,77
27459,"Самарский приют для животных ""НадеждА""",2019-09-04 12:20:31,Избавить питомца от глистов,50
25218,Мокрый нос,2019-09-04 12:59:23,"1 ПёсоДень",145
25218,Мокрый нос,2019-09-04 12:59:23,"1 ПёсоДень",145
25218,"Кошачий приют ""ДОМИК""",2019-09-04 12:59:23,КотоДень,67
25218,Кот и Пёс,2019-09-04 12:59:23,ПёсоДень,155
25218,Кот и Пёс,2019-09-04 12:59:23,ПёсоДень,155
25218,Кот и Пёс,2019-09-04 12:59:23,ПёсоДень,155
25218,Лёхин дом,2019-09-04 12:59:23,"1 КотоДень",116
25218,Убежище,2019-09-04 12:59:23,"1 КотоДень",114
25218,Добрые сердца,2019-09-04 12:59:23,КотоДень,77
25218,Добрые сердца,2019-09-04 12:59:23,КотоДень,77
27284,"Приют для кошек ""ЯрКот""",2019-09-04 14:08:25,"1 КотоДень",83
25152,"Приют для кошек ""ЯрКот""",2019-09-04 14:11:40,"1 КотоДень",83
25152,"Приют для кошек ""ЯрКот""",2019-09-04 14:11:40,Рекламировать питомца (пакет Mini),78
24665,Мокрый нос,2019-09-04 14:21:03,"1 ПёсоДень",145
24665,Котофей,2019-09-04 14:21:03,"1 КотоДень",87
24665,Котофей,2019-09-04 14:21:03,"1 КотоДень",87
24665,Котофей,2019-09-04 14:21:03,"1 КотоДень",87
24665,Добрые сердца,2019-09-04 14:21:03,КотоДень,77
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от глистов,50
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
27214,"Самарский приют для животных ""НадеждА""",2019-09-04 14:49:06,Избавить питомца от блох,80
26864,Люськин дом,2019-09-04 15:28:33,Порция корма ,36
26864,Люськин дом,2019-09-04 15:28:33,"1 КотоДень",87
26864,Кот и Пёс,2019-09-04 15:28:33,Рекламировать питомца (пакет Standart),155
26864,Добрые сердца,2019-09-04 15:28:33,КотоДень,77
26864,"Самарский приют для животных ""НадеждА""",2019-09-04 15:34:25,Избавить питомца от глистов,200
2529,Кот и Пёс,2019-09-04 15:52:09,ПёсоДень,155
2529,Кот и Пёс,2019-09-04 15:52:09,Рекламировать питомца (пакет Mini),78
27785,Котофей,2019-09-04 16:16:45,"1 КотоДень",87
27785,Добрые сердца,2019-09-04 16:16:45,КотоДень,77
27785,Добрые сердца,2019-09-04 16:23:54,КотоДень,77
26561,"Самарский приют для животных ""НадеждА""",2019-09-04 16:29:32,Корм с курицей и рисом ,39
26917,"Самарский приют для животных ""НадеждА""",2019-09-04 17:28:27,"1 КотоДень",98
26917,"Самарский приют для животных ""НадеждА""",2019-09-04 17:28:27,Избавить питомца от блох,100
26917,"Самарский приют для животных ""НадеждА""",2019-09-04 17:28:27,Избавить питомца от глистов,100
6319,Убежище,2019-09-04 19:23:47,"1 КотоДень",114
27792,Лёхин дом,2019-09-04 19:31:57,"1 КотоДень",116
25487,Добрые сердца,2019-09-04 20:15:52,КотоДень,77
27794,"Приют для кошек ""Потеряшка""",2019-09-04 21:22:36,"1 КотоДень",104
27794,Убежище,2019-09-04 21:22:36,"1 КотоДень",114
27796,Убежище,2019-09-04 22:03:40,Наполнитель для туалета,20
27781,"Кошачий приют ""ДОМИК""",2019-09-04 22:07:34,КотоДень,67
25359,"Самарский приют для животных ""НадеждА""",2019-09-04 22:41:08,Избавить питомца от глистов,350
25359,Кот и Пёс,2019-09-04 22:41:08,ПёсоДень,155
27769,"Самарский приют для животных ""НадеждА""",2019-09-04 22:57:03,Избавить питомца от блох,400
27769,"Самарский приют для животных ""НадеждА""",2019-09-04 22:57:03,Избавить питомца от глистов,550
27769,"Самарский приют для животных ""НадеждА""",2019-09-04 23:09:02,"1 КотоНеделя",870
27769,"Самарский приют для животных ""НадеждА""",2019-09-04 23:09:02,Наполнитель для туалета,20
27781,"Самарский приют для животных ""НадеждА""",2019-09-04 23:25:54,Корм с курицей и рисом ,39
27797,Убежище,2019-09-05 00:32:44,Наполнитель для туалета,20
27798,"Самарский приют для животных ""НадеждА""",2019-09-05 00:55:07,Избавить питомца от блох,100
5636,Убежище,2019-09-05 06:40:50,"1 КотоДень",114
5636,Добрые сердца,2019-09-05 06:40:50,Порция вкуснейшего корма,36
5068,Кот и Пёс,2019-09-05 06:45:21,КотоДень,85
5068,Кот и Пёс,2019-09-05 06:48:58,Наполнитель для туалета,20
1872,Матроскин,2019-09-05 08:46:55,Противовирусная сыворотка,250
1872,Шереметьевский приют,2019-09-05 08:46:55,Стерилизация,250
27572,Лёхин дом,2019-09-05 09:25:06,"1 КотоДень",116
27183,Шереметьевский приют,2019-09-05 09:46:25,ПёсоДень,255
1810,Лёхин дом,2019-09-05 09:59:08,"1 КотоДень",116
1810,Убежище,2019-09-05 09:59:08,"1 КотоДень",114
27801,Убежище,2019-09-05 10:10:13,Наполнитель для туалета,20
26395,Лёхин дом,2019-09-05 10:28:49,"1 КотоДень",116
27727,Матроскин,2019-09-05 10:33:16,Рекламировать питомца (пакет Mini),78
27727,Матроскин,2019-09-05 10:38:43,Противовирусная сыворотка,50
23798,Матроскин,2019-09-05 12:34:20,Противовирусная сыворотка,446
23798,"Приют для кошек ""ЯрКот""",2019-09-05 12:34:20,"1 КотоДень",83
27802,Люськин дом,2019-09-05 12:50:44,Наполнитель для туалета Fresh Step,36
27802,Люськин дом,2019-09-05 12:50:44,Наполнитель для туалета Fresh Step,36
27802,Люськин дом,2019-09-05 12:50:44,Когтеточка,100
27802,Люськин дом,2019-09-05 13:01:27,"1 КотоДень",87
27665,Шереметьевский приют,2019-09-05 13:08:32,ПёсоДень,3.7
25600,Центральный приют Спб для бездомных кошек!,2019-09-05 15:13:07,"1 КотоДень",98
25600,Добрые сердца,2019-09-05 15:13:07,КотоДень,77
24524,Шереметьевский приют,2019-09-05 15:13:52,Стерилизация,2308
5965,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:09,"1 КотоДень",98
5965,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:09,Избавить питомца от блох,200
5965,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:09,"1 КотоДень",98
5965,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:09,Избавить питомца от блох,350
5965,Люськин дом,2019-09-05 15:25:09,Котодень,106
5965,Люськин дом,2019-09-05 15:25:09,Когтеточка,123
5965,Убежище,2019-09-05 15:25:09,"1 КотоДень",114
27516,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:33,Наполнитель для туалета,20
27516,"Самарский приют для животных ""НадеждА""",2019-09-05 15:25:33,Избавить питомца от глистов,250
27409,Люськин дом,2019-09-05 15:27:24,"1 КотоДень",87
26341,"Самарский приют для животных ""НадеждА""",2019-09-05 15:28:56,Избавить питомца от глистов,50
27409,Кот и Пёс,2019-09-05 15:31:29,КотоДень,85
25057,"Самарский приют для животных ""НадеждА""",2019-09-05 15:32:16,Избавить питомца от блох,200
27767,Убежище,2019-09-05 15:33:48,"1 КотоДень",114
27767,Убежище,2019-09-05 15:33:48,Наполнитель для туалета,20
27409,Люськин дом,2019-09-05 15:34:19,Наполнитель для туалета Fresh Step,36
26341,"Приют для кошек ""ЯрКот""",2019-09-05 15:36:30,"1 КотоДень",83
27409,Кот и Пёс,2019-09-05 15:48:00,КотоДень,85
27409,Кот и Пёс,2019-09-05 15:50:07,Наполнитель для туалета,20
27510,"Самарский приют для животных ""НадеждА""",2019-09-05 15:53:04,Избавить питомца от блох,200
27510,"Самарский приют для животных ""НадеждА""",2019-09-05 15:53:04,Избавить питомца от глистов,200
27510,"Самарский приют для животных ""НадеждА""",2019-09-05 15:53:04,Избавить питомца от глистов,200
27510,"Самарский приют для животных ""НадеждА""",2019-09-05 15:53:04,"1 КотоДень",98
27510,"Самарский приют для животных ""НадеждА""",2019-09-05 15:53:04,Рекламировать питомца (пакет Maxi),265
25057,"Самарский приют для животных ""НадеждА""",2019-09-05 15:56:07,Избавить питомца от глистов,150
22700,Шереметьевский приют,2019-09-05 15:59:02,Порция вкуснейшего корма,106
22700,Шереметьевский приют,2019-09-05 15:59:02,Порция вкуснейшего корма,106
22700,Лёхин дом,2019-09-05 15:59:02,"1 КотоДень",116
22700,Лёхин дом,2019-09-05 15:59:02,Наполнитель для туалета,20
22700,Убежище,2019-09-05 15:59:02,"1 КотоДень",114
22700,Убежище,2019-09-05 15:59:02,Наполнитель для туалета,20
27667,"Самарский приют для животных ""НадеждА""",2019-09-05 16:03:58,Избавить питомца от глистов,100
27667,"Самарский приют для животных ""НадеждА""",2019-09-05 16:03:58,Избавить питомца от глистов,50
27667,Шереметьевский приют,2019-09-05 16:03:58,Порция вкуснейшего корма,106
27667,Добрые сердца,2019-09-05 16:03:58,Порция вкуснейшего корма,36
27526,Шереметьевский приют,2019-09-05 16:07:55,Порция вкуснейшего корма,106
